trial_id,last_train_loss,last_train_loss2,last_train_loss3,last_train_loss_ave,last_train_f1,last_train_f12,last_train_f13,last_train_f1_ave,last_dev_loss1,last_dev_loss2,last_dev_loss3,last_dev_loss_ave,last_dev_f11,last_dev_f12,last_dev_f13,last_dev_f1_ave,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.embedding_num,config.embedding_onerad_num,config.embedding_threerad_num,config.hidden_num
f4089_00000,0.003205403,0.004491032,0.003532438,0.003742958,0.98,0.978967136,0.977183099,0.978716745,0.002980109,0.01069297,0.00222676,0.005299946,0.952565789,0.955394737,0.955394737,0.954451754,26.26306891,TRUE,,,1,74c755a8b906458cbc2438777f8927b4,2022-03-10_10-37-13,1646908633,26.26306891,25784,LAPTOP-U2GSCB1O,127.0.0.1,26.26306891,0,1,"0_embedding_num=250,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",250,50,50,100
f4089_00001,0.002243134,0.003595779,0.001834884,0.002557932,0.982669349,0.981743796,0.980965795,0.98179298,0.011890655,0.004593675,0.00782999,0.008104773,0.954210526,0.954144737,0.954013158,0.954122807,27.11767125,TRUE,,,1,6d5d7f965a7a4040880155721cdc3189,2022-03-10_10-37-45,1646908665,27.11767125,50052,LAPTOP-U2GSCB1O,127.0.0.1,27.11767125,0,1,"1_embedding_num=300,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",300,50,50,100
f4089_00002,0.001418822,0.002240229,0.002949695,0.002202915,0.983246144,0.982521797,0.981113347,0.982293763,0.019562315,0.031580459,0.020390291,0.023844355,0.954013158,0.955526316,0.955986842,0.955175439,25.35398293,TRUE,,,1,5e6d0b835e1a43b0ae4a734ffec25700,2022-03-10_10-38-15,1646908695,25.35398293,48440,LAPTOP-U2GSCB1O,127.0.0.1,25.35398293,0,1,"2_embedding_num=350,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",350,50,50,100
f4089_00003,0.003011847,0.001129927,0.001606164,0.001915979,0.984372904,0.984708249,0.982173038,0.983751397,0.062787168,0.05838412,0.07079,0.063987096,0.954473684,0.955263158,0.954605263,0.954780702,25.11848164,TRUE,,,1,32540819898a43048ba9e5c7c32d275b,2022-03-10_10-38-45,1646908725,25.11848164,46804,LAPTOP-U2GSCB1O,127.0.0.1,25.11848164,0,1,"3_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",400,50,50,100
f4089_00004,0.003143697,0.00108782,0.000860477,0.001697331,0.985016767,0.984158283,0.983393696,0.984189582,0.004923859,0.015435237,0.006268888,0.008875995,0.955460526,0.955855263,0.954736842,0.955350877,25.21886873,TRUE,,,1,fb7c62bc1ce94e028432b39484b266db,2022-03-10_10-39-15,1646908755,25.21886873,49424,LAPTOP-U2GSCB1O,127.0.0.1,25.21886873,0,1,"4_embedding_num=450,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",450,50,50,100
f4089_00005,0.001021958,0.001041901,0.002221071,0.00142831,0.986519115,0.985057009,0.985446009,0.985674044,0.00634523,0.006232628,0.005614403,0.006064087,0.954342105,0.952828947,0.954276316,0.953815789,25.24783683,TRUE,,,1,6988c5eca80642b683fe7e40374ac966,2022-03-10_10-39-46,1646908786,25.24783683,45184,LAPTOP-U2GSCB1O,127.0.0.1,25.24783683,0,1,"5_embedding_num=500,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",500,50,50,100
f4089_00006,0.000984652,0.003086969,0.001423523,0.001831715,0.986827632,0.986519115,0.98527163,0.986206126,0.090112455,0.083689399,0.11544966,0.096417171,0.952894737,0.953355263,0.953223684,0.953157895,25.55595136,TRUE,,,1,a541b238f30c44eeb696d9c7e237b5e0,2022-03-10_10-40-16,1646908816,25.55595136,23804,LAPTOP-U2GSCB1O,127.0.0.1,25.55595136,0,1,"6_embedding_num=550,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",550,50,50,100
f4089_00007,0.003893831,0.000999013,0.001906617,0.002266487,0.985459423,0.984399732,0.983916834,0.984591996,0.010430942,0.006224984,0.00884504,0.008500322,0.956315789,0.956710526,0.956710526,0.956578947,25.65201044,TRUE,,,1,b4867c31e15d40f3b2afb52e84b51cbb,2022-03-10_10-40-47,1646908847,25.65201044,45776,LAPTOP-U2GSCB1O,127.0.0.1,25.65201044,0,1,"7_embedding_num=250,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=150",250,50,50,150
f4089_00008,0.000755218,0.00209943,0.000935152,0.001263267,0.986988598,0.986277666,0.986076459,0.986447574,0.032762099,0.083027482,0.05233229,0.056040624,0.955328947,0.954605263,0.955131579,0.95502193,25.71930337,TRUE,,,1,318484650aca4307ada916e6b72399ff,2022-03-10_10-41-17,1646908877,25.71930337,41420,LAPTOP-U2GSCB1O,127.0.0.1,25.71930337,0,1,"8_embedding_num=300,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=150",300,50,50,150
f4089_00009,0.005154424,0.005066535,0.000965703,0.003728887,0.988249497,0.987753186,0.98741784,0.987806841,0.052344766,0.032105736,0.039755691,0.041402064,0.957828947,0.957171053,0.958026316,0.957675439,25.82702613,TRUE,,,1,3e7203885aa644a59b378b81d137b9fc,2022-03-10_10-41-47,1646908907,25.82702613,49484,LAPTOP-U2GSCB1O,127.0.0.1,25.82702613,0,1,"9_embedding_num=350,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=150",350,50,50,150
